,Period,HomeCountry,Commune,Gender,Population
0,2023Q4,Total,All Denmark,Men,2962468
1,2023Q4,Total,All Denmark,Women,2996996
2,2023Q4,Total,Region Hovedstaden,Men,937907
3,2023Q4,Total,Region Hovedstaden,Women,972488
4,2023Q4,Total,Copenhagen,Men,325010
5,2023Q4,Total,Copenhagen,Women,335832
6,2023Q4,Total,Frederiksberg,Men,49898
7,2023Q4,Total,Frederiksberg,Women,55395
8,2023Q4,Total,Dragør,Men,7119
9,2023Q4,Total,Dragør,Women,7426
10,2023Q4,Total,Tårnby,Men,21641
11,2023Q4,Total,Tårnby,Women,22037
12,2023Q4,Total,Albertslund,Men,13686
13,2023Q4,Total,Albertslund,Women,13976
14,2023Q4,Total,Ballerup,Men,24885
15,2023Q4,Total,Ballerup,Women,25927
16,2023Q4,Total,Brøndby,Men,19158
17,2023Q4,Total,Brøndby,Women,19494
18,2023Q4,Total,Gentofte,Men,35787
19,2023Q4,Total,Gentofte,Women,39205
20,2023Q4,Total,Gladsaxe,Men,35133
21,2023Q4,Total,Gladsaxe,Women,35440
22,2023Q4,Total,Glostrup,Men,11923
23,2023Q4,Total,Glostrup,Women,11786
24,2023Q4,Total,Herlev,Men,14502
25,2023Q4,Total,Herlev,Women,15031
26,2023Q4,Total,Hvidovre,Men,26576
27,2023Q4,Total,Hvidovre,Women,27197
28,2023Q4,Total,Høje-Taastrup,Men,28898
29,2023Q4,Total,Høje-Taastrup,Women,28181
30,2023Q4,Total,Ishøj,Men,11829
31,2023Q4,Total,Ishøj,Women,11821
32,2023Q4,Total,Lyngby-Taarbæk,Men,29099
33,2023Q4,Total,Lyngby-Taarbæk,Women,29653
34,2023Q4,Total,Rødovre,Men,21533
35,2023Q4,Total,Rødovre,Women,22392
36,2023Q4,Total,Vallensbæk,Men,8896
37,2023Q4,Total,Vallensbæk,Women,8854
38,2023Q4,Total,Allerød,Men,12689
39,2023Q4,Total,Allerød,Women,13266
40,2023Q4,Total,Egedal,Men,22611
41,2023Q4,Total,Egedal,Women,22908
42,2023Q4,Total,Fredensborg,Men,20202
43,2023Q4,Total,Fredensborg,Women,21603
44,2023Q4,Total,Frederikssund,Men,22893
45,2023Q4,Total,Frederikssund,Women,23429
46,2023Q4,Total,Furesø,Men,20753
47,2023Q4,Total,Furesø,Women,21694
48,2023Q4,Total,Gribskov,Men,20854
49,2023Q4,Total,Gribskov,Women,21160
50,2023Q4,Total,Halsnæs,Men,15717
51,2023Q4,Total,Halsnæs,Women,15813
52,2023Q4,Total,Helsingør,Men,30822
53,2023Q4,Total,Helsingør,Women,32974
54,2023Q4,Total,Hillerød,Men,26601
55,2023Q4,Total,Hillerød,Women,27642
56,2023Q4,Total,Hørsholm,Men,11712
57,2023Q4,Total,Hørsholm,Women,13062
58,2023Q4,Total,Rudersdal,Men,27969
59,2023Q4,Total,Rudersdal,Women,29250
60,2023Q4,Total,Bornholm,Men,19465
61,2023Q4,Total,Bornholm,Women,19995
62,2023Q4,Total,Christiansø,Men,46
63,2023Q4,Total,Christiansø,Women,45
64,2023Q4,Total,Region Sjælland,Men,424509
65,2023Q4,Total,Region Sjælland,Women,427306
66,2023Q4,Total,Greve,Men,25504
67,2023Q4,Total,Greve,Women,26265
68,2023Q4,Total,Køge,Men,31104
69,2023Q4,Total,Køge,Women,31527
70,2023Q4,Total,Lejre,Men,14535
71,2023Q4,Total,Lejre,Women,14678
72,2023Q4,Total,Roskilde,Men,44450
73,2023Q4,Total,Roskilde,Women,46245
74,2023Q4,Total,Solrød,Men,12086
75,2023Q4,Total,Solrød,Women,12414
76,2023Q4,Total,Faxe,Men,19251
77,2023Q4,Total,Faxe,Women,18444
78,2023Q4,Total,Guldborgsund,Men,29911
79,2023Q4,Total,Guldborgsund,Women,29897
80,2023Q4,Total,Holbæk,Men,36639
81,2023Q4,Total,Holbæk,Women,37280
82,2023Q4,Total,Kalundborg,Men,24395
83,2023Q4,Total,Kalundborg,Women,24058
84,2023Q4,Total,Lolland,Men,20123
85,2023Q4,Total,Lolland,Women,19631
86,2023Q4,Total,Næstved,Men,41958
87,2023Q4,Total,Næstved,Women,42744
88,2023Q4,Total,Odsherred,Men,16352
89,2023Q4,Total,Odsherred,Women,16351
90,2023Q4,Total,Ringsted,Men,18368
91,2023Q4,Total,Ringsted,Women,17948
92,2023Q4,Total,Slagelse,Men,39680
93,2023Q4,Total,Slagelse,Women,40139
94,2023Q4,Total,Sorø,Men,15151
95,2023Q4,Total,Sorø,Women,15293
96,2023Q4,Total,Stevns,Men,11849
97,2023Q4,Total,Stevns,Women,11773
98,2023Q4,Total,Vordingborg,Men,23153
99,2023Q4,Total,Vordingborg,Women,22619
100,2023Q4,Total,Region Syddanmark,Men,619166
101,2023Q4,Total,Region Syddanmark,Women,619337
102,2023Q4,Total,Assens,Men,20541
103,2023Q4,Total,Assens,Women,20226
104,2023Q4,Total,Faaborg-Midtfyn,Men,26171
105,2023Q4,Total,Faaborg-Midtfyn,Women,26095
106,2023Q4,Total,Kerteminde,Men,11768
107,2023Q4,Total,Kerteminde,Women,12123
108,2023Q4,Total,Langeland,Men,6246
109,2023Q4,Total,Langeland,Women,6044
110,2023Q4,Total,Middelfart,Men,20015
111,2023Q4,Total,Middelfart,Women,20041
112,2023Q4,Total,Nordfyns,Men,15009
113,2023Q4,Total,Nordfyns,Women,14657
114,2023Q4,Total,Nyborg,Men,15941
115,2023Q4,Total,Nyborg,Women,16329
116,2023Q4,Total,Odense,Men,103140
117,2023Q4,Total,Odense,Women,105736
118,2023Q4,Total,Svendborg,Men,29644
119,2023Q4,Total,Svendborg,Women,30125
120,2023Q4,Total,Ærø,Men,2947
121,2023Q4,Total,Ærø,Women,3053
122,2023Q4,Total,Billund,Men,13724
123,2023Q4,Total,Billund,Women,13374
124,2023Q4,Total,Esbjerg,Men,57925
125,2023Q4,Total,Esbjerg,Women,57564
126,2023Q4,Total,Fanø,Men,1621
127,2023Q4,Total,Fanø,Women,1751
128,2023Q4,Total,Fredericia,Men,26304
129,2023Q4,Total,Fredericia,Women,26129
130,2023Q4,Total,Haderslev,Men,27846
131,2023Q4,Total,Haderslev,Women,27602
132,2023Q4,Total,Kolding,Men,47323
133,2023Q4,Total,Kolding,Women,47484
134,2023Q4,Total,Sønderborg,Men,37351
135,2023Q4,Total,Sønderborg,Women,37057
136,2023Q4,Total,Tønder,Men,18476
137,2023Q4,Total,Tønder,Women,18218
138,2023Q4,Total,Varde,Men,25215
139,2023Q4,Total,Varde,Women,24585
140,2023Q4,Total,Vejen,Men,21810
141,2023Q4,Total,Vejen,Women,21044
142,2023Q4,Total,Vejle,Men,60919
143,2023Q4,Total,Vejle,Women,60697
144,2023Q4,Total,Aabenraa,Men,29230
145,2023Q4,Total,Aabenraa,Women,29403
146,2023Q4,Total,Region Midtjylland,Men,681299
147,2023Q4,Total,Region Midtjylland,Women,683554
148,2023Q4,Total,Favrskov,Men,24817
149,2023Q4,Total,Favrskov,Women,24509
150,2023Q4,Total,Hedensted,Men,24432
151,2023Q4,Total,Hedensted,Women,23240
152,2023Q4,Total,Horsens,Men,48847
153,2023Q4,Total,Horsens,Women,48233
154,2023Q4,Total,Norddjurs,Men,18694
155,2023Q4,Total,Norddjurs,Women,18183
156,2023Q4,Total,Odder,Men,11715
157,2023Q4,Total,Odder,Women,12164
158,2023Q4,Total,Randers,Men,49748
159,2023Q4,Total,Randers,Women,49969
160,2023Q4,Total,Samsø,Men,1841
161,2023Q4,Total,Samsø,Women,1874
162,2023Q4,Total,Silkeborg,Men,49939
163,2023Q4,Total,Silkeborg,Women,50323
164,2023Q4,Total,Skanderborg,Men,32386
165,2023Q4,Total,Skanderborg,Women,32808
166,2023Q4,Total,Syddjurs,Men,22072
167,2023Q4,Total,Syddjurs,Women,22157
168,2023Q4,Total,Aarhus,Men,179910
169,2023Q4,Total,Aarhus,Women,187058
170,2023Q4,Total,Herning,Men,45318
171,2023Q4,Total,Herning,Women,44602
172,2023Q4,Total,Holstebro,Men,29471
173,2023Q4,Total,Holstebro,Women,29513
174,2023Q4,Total,Ikast-Brande,Men,21897
175,2023Q4,Total,Ikast-Brande,Women,20875
176,2023Q4,Total,Lemvig,Men,9747
177,2023Q4,Total,Lemvig,Women,9435
178,2023Q4,Total,Ringkøbing-Skjern,Men,28470
179,2023Q4,Total,Ringkøbing-Skjern,Women,27700
180,2023Q4,Total,Skive,Men,22781
181,2023Q4,Total,Skive,Women,22058
182,2023Q4,Total,Struer,Men,10291
183,2023Q4,Total,Struer,Women,10286
184,2023Q4,Total,Viborg,Men,48923
185,2023Q4,Total,Viborg,Women,48567
186,2023Q4,Total,Region Nordjylland,Men,299587
187,2023Q4,Total,Region Nordjylland,Women,294311
188,2023Q4,Total,Brønderslev,Men,18538
189,2023Q4,Total,Brønderslev,Women,18049
190,2023Q4,Total,Frederikshavn,Men,29437
191,2023Q4,Total,Frederikshavn,Women,29022
192,2023Q4,Total,Hjørring,Men,32000
193,2023Q4,Total,Hjørring,Women,31805
194,2023Q4,Total,Jammerbugt,Men,19279
195,2023Q4,Total,Jammerbugt,Women,19045
196,2023Q4,Total,Læsø,Men,878
197,2023Q4,Total,Læsø,Women,887
198,2023Q4,Total,Mariagerfjord,Men,21330
199,2023Q4,Total,Mariagerfjord,Women,20446
200,2023Q4,Total,Morsø,Men,10079
201,2023Q4,Total,Morsø,Women,9761
202,2023Q4,Total,Rebild,Men,15660
203,2023Q4,Total,Rebild,Women,15234
204,2023Q4,Total,Thisted,Men,21756
205,2023Q4,Total,Thisted,Women,21412
206,2023Q4,Total,Vesthimmerlands,Men,18285
207,2023Q4,Total,Vesthimmerlands,Women,17828
208,2023Q4,Total,Aalborg,Men,112345
209,2023Q4,Total,Aalborg,Women,110822
210,2023Q4,Denmark,All Denmark,Men,2495047
211,2023Q4,Denmark,All Denmark,Women,2525724
212,2023Q4,Denmark,Region Hovedstaden,Men,724983
213,2023Q4,Denmark,Region Hovedstaden,Women,751844
214,2023Q4,Denmark,Copenhagen,Men,233692
215,2023Q4,Denmark,Copenhagen,Women,242042
216,2023Q4,Denmark,Frederiksberg,Men,39853
217,2023Q4,Denmark,Frederiksberg,Women,43924
218,2023Q4,Denmark,Dragør,Men,6519
219,2023Q4,Denmark,Dragør,Women,6739
220,2023Q4,Denmark,Tårnby,Men,18339
221,2023Q4,Denmark,Tårnby,Women,18461
222,2023Q4,Denmark,Albertslund,Men,9087
223,2023Q4,Denmark,Albertslund,Women,9495
224,2023Q4,Denmark,Ballerup,Men,19561
225,2023Q4,Denmark,Ballerup,Women,20439
226,2023Q4,Denmark,Brøndby,Men,11554
227,2023Q4,Denmark,Brøndby,Women,11934
228,2023Q4,Denmark,Gentofte,Men,30024
229,2023Q4,Denmark,Gentofte,Women,32023
230,2023Q4,Denmark,Gladsaxe,Men,26117
231,2023Q4,Denmark,Gladsaxe,Women,26358
232,2023Q4,Denmark,Glostrup,Men,8863
233,2023Q4,Denmark,Glostrup,Women,8846
234,2023Q4,Denmark,Herlev,Men,11083
235,2023Q4,Denmark,Herlev,Women,11570
236,2023Q4,Denmark,Hvidovre,Men,20590
237,2023Q4,Denmark,Hvidovre,Women,21048
238,2023Q4,Denmark,Høje-Taastrup,Men,18178
239,2023Q4,Denmark,Høje-Taastrup,Women,18343
240,2023Q4,Denmark,Ishøj,Men,6441
241,2023Q4,Denmark,Ishøj,Women,6517
242,2023Q4,Denmark,Lyngby-Taarbæk,Men,23490
243,2023Q4,Denmark,Lyngby-Taarbæk,Women,24021
244,2023Q4,Denmark,Rødovre,Men,15831
245,2023Q4,Denmark,Rødovre,Women,16757
246,2023Q4,Denmark,Vallensbæk,Men,5888
247,2023Q4,Denmark,Vallensbæk,Women,5905
248,2023Q4,Denmark,Allerød,Men,11363
249,2023Q4,Denmark,Allerød,Women,11758
250,2023Q4,Denmark,Egedal,Men,19940
251,2023Q4,Denmark,Egedal,Women,20265
252,2023Q4,Denmark,Fredensborg,Men,16226
253,2023Q4,Denmark,Fredensborg,Women,17301
254,2023Q4,Denmark,Frederikssund,Men,20677
255,2023Q4,Denmark,Frederikssund,Women,21052
256,2023Q4,Denmark,Furesø,Men,17328
257,2023Q4,Denmark,Furesø,Women,18010
258,2023Q4,Denmark,Gribskov,Men,18878
259,2023Q4,Denmark,Gribskov,Women,19019
260,2023Q4,Denmark,Halsnæs,Men,13700
261,2023Q4,Denmark,Halsnæs,Women,13745
262,2023Q4,Denmark,Helsingør,Men,26540
263,2023Q4,Denmark,Helsingør,Women,28196
264,2023Q4,Denmark,Hillerød,Men,22594
265,2023Q4,Denmark,Hillerød,Women,23605
266,2023Q4,Denmark,Hørsholm,Men,10354
